カンヌ	かんぬ	cannes
ニューヨーク	にゅーよーく	new york
ストックホルム	すとっくほるむ	stockholm
シカゴ	しかご	chicago
ロサンゼルス	ろさんぜるす	los angeles
モスクワ	もすくわ	moscow
ボストン	ぼすとん	boston
ソウル	そうる	seoul - region in korea
バンクーバー	ばんくーばー	vancuver
アムステルダム	あむすてるだむ	amsterdam
ポルトガル	ぽるとがる	portugal
ポーランド	ぽーらんど	poland
ロンドン	ろんどん	london
ギリシャ	ぎりしゃ	greece
ベルリン	べるりん	berlin
インドネシア	いんどねしあ	indonesia
ネパール	ねぱーる	nepal
エジプト	えじぷと	egypt
カナダ	かなだ	canada
オランダ	おらんだ	the netherlands
パリ	ぱり	paris
ブラジル	ぶらじる	brazil
マドリード	まどりーど	madrid
アイルランド	あいるらんど	ireland
インド	いんど	india
ドイツ	どいつ	germany
エリカ	えりか	erika - name
アジア	あじあ	asia
アフリカ	あふりか	africa
メキシコ	めきしこ	mexico
カメラ	かめら	camera
ございます		emphasis - often put after "thank you" to make into "thank you very much", generally increases the significance of something
こんばんは		good evening - eve greeting
じゃあね		see ya / later - casual parting words
さようなら		good bye - parting words
どういたしまして		you're welcome / don't mention it - a reply to a thanks
こちらこそ		(here) as well - equating to a similar instance
どうも		hi / thanks - casual greeting or thanking
ありがとう		thank you - showing greatfulness
しろ		white
そと		outside
ヨーロッパ	よーろっぱ	europe
あお		blue (sometime refers to green due to historical blue pigment shortage)
あか		red
部屋	へや	room
いえ	いえ	house, home
時	じ	time / hour
今	いま	now
十	じゅう	ten
半	はん	half
ゼロ	ぜろ	zero, number
さくら		sakura - cherry blossom
五	ご	five
分	ぷん	minute(s)
七	なな	seven
の		possesive - <subject>" 's " <object>
ちょうど		exactly / exact - can also be used as time "o'clock"
おはよう		good morning - morning greeting
べんとう		boxed lunch
かばん		backpack
くだもの		fruit
でんわ		phone
かぜ		wind
えもじ		emoji
ちず		map
ぎんこう		bank / safe
まんが		manga
食べ	たべ	(to) eat
パン	ぱん	bread / bun
飲み	のみ	(to) drink - conceptual
これ		this
ごちそうさまでした		thanks for the food - commonplace to say after meals
野菜	やさい	vegetables
魚	さかな	fish
どれ		which one?
水	みず　/　すい	water
ください		please / I'll have... - a request to order, hand over, preform an action
を	("wo" to type)	indicator suffix - 'the' in reverse
いただきます		let's eat - a phrase used before a meal
それ		that
ません		not - negator
肉	にく	meat
オーストラリア	おーすとらりあ	australia
くもり		cloudy
はれ		bright / clear - weather
昼	ひる	noon
ふゆ		winter
なつ		summer
め		eye
せなか		back
みみ		ear
犬	いぬ	dog
猫	ねこ	cat
鳥	とり	bird
なっとう		natto - fremented bean sprouts
今日	きょう	today
きっぷ		ticket
学校	がっこう	school
九	きゅう	nine
えんぴつ		pencil
お茶	おちゃ	green tea
きたない		dirty / contaminated
あまい		sweet
ほしい		want
すし		sushi
すき		like - affection or positive disposition
てりやき		teriyaki - a form of cooking
お酒	おさけ	alchohol
のむ		(to) drink - verb
よる		night
きる		(to) wear
よむ		(to) read
ご飯	ごはん	rice / meal
御飯		
日	ひ	day
一	いち	one
二	に	two
三	さん	three (unlike honorific)
四	よん	four
千	せん	thousand
嫌い	きらい	hate
願い	ねがい	wish / plea / request
お願い	おねがい	please - casual
六	ろく	six
八	はち	eight
ノルウェー	のるうぇー	norway
スウェーデン	すうぇーでん	sweden
ハワイ	はわい	hawaii
起き	おき	get up / wake up
頃	ごろ	approximation, around / about
零	れい	zero, absence, nought
働き	はたらき	work / labor / action / operation / function / workings
時間	じかん	time / hour
家族	かぞく	family
父	ちち	dad / father
お父さん	おとうさん	
来	き	abstract come
	らい	since
来い	こい	come (exclamation)
来る	くる	will come
来ます	きます	is coming
来た	きた	came
誰	だれ	who (inquary of person)
彼	かれ	he / him, also boyfriend
彼女	かのじょ	she / her, also girlfriend
いつ		when
忙し	いそがし	busy
友達	ともだち	friends
事	こと / ごと	about - reffering to, thing, case matter
曜日	ようび	day of the week, suffix. (sunday, monday)
木	もく	wood, timber, lumber.
木曜日	もくようび	thursday (lumber-day)
昨日	きのう	yesterday
勉強	べんきょう	study
明日	あした	tomorrow
仕事	しごと	work / occupation
水曜日	すいようび	wednesday (water-day)
金曜日	きんようび	friday (gold-day)
金	きん	gold
留学生	りゅがくせい	international - exchange student, overseas student
留	とめ	station (bus or train)
母	はは	mom, mother
お母さん	おかあさん	
兄弟	きょうだい	brother(s) / sibling(s)
姉妹	しまい	sister(s)
兄	あに	big brother
お兄さん	おにいさん	
弟	おとうと	younger brother
姉	あね	big sister
お姉さん	おねえさん	
妹	いもうと	younger sister
両親	りょうしん	parents
東京	とうきょう	tokyo
京都	きょうと	kyoto
小学	しょうがく	elementry / grade school
中学	ちゅうがく	middle-school
高校	こうこう	high-school
大学	だいがく	college / university
年	ねん	year
年生	ねんせい	academic year
安	やす	cheap
好き	すき	like
晩	ばん	evening / night
冷	ひや	chill, cool, cold - temperture
冷たい	つめたい	
嫌	いや	hate, displeasure, reluctance
嫌い	きらい	
個	こ	piece(s), individual(s), used for counting
卵	たまご	egg
椅子	いす	chair
子	こ	child
子供	こども	children
台所	だいどころ	kitchen
机	つくえ	desk
歳	とし	 - years of age
〇歳	〇さい	
大	おお	big
大阪	おおさか	osaka - region
直美	なおみ	naomi - name
健太	けんた	kenta - name
違う	ちがう	different, wrong.
違い	違い	difference
申し	もうし	request
〇〇と申します	〇〇ともうします	I request to be addressed as \ I'm called \ my name is - polite introduction
月曜日	げつようび	monday (month - day)
隅	すみ	lives (in a place), accomedation.
石	いし	stone
上	うえ	up
左	ひだり	left
右	みぎ	right
横	よこ	beside, side, width
眩し	まぶし	bright
眩しい	まぶしい	dazzling
新	しん	new
新しい	あたらしい	
近	ちか	close
近い	ちかい	
近しい	ちかしい	
古	ふる	old
古い	ふるい	
古しい	ふるしい	
鏡	かがみ	mirror
低い	ひくい	low
間	あいだ	a while / in between
まえ		in front, across
布団	ふとん	futon, foldable matress
後ろ	うしろ	behind
庭	にわ	garden, yard, patio
住み	すみ	to live (in/at)
住む	すむ	will live (in/at)
住処	すみか	accomedation, a place to live
住んでいます	すんでいます	lives (in/at)
所	ところ	place, location, landmark.
寝	ね	sleep
寝る	ねる	I will sleep
寝ます	ねます	sleeping
べんごし		lawyer
いしゃ		doctor
やさしい		nice, kind
生徒	せいと	student (less formal) - a student apart from a class, a university viewer
Tシャツ	てぃーしゃつ	T-shirt
傘	かさ	umbrella
百	ひゃく	hundred
状況	じょうきょう	situation
状元	じょうけん	condition, requirement
属	ぞく	genus
種属	しゅぞく	species
所属	しょそく	affiliation
属性	ぞくせい	attribute
不	ふ	no, none
